text,user,location
"RT @azcentral: JUST IN: The Arizona Department of Health Services told a team of university experts working on COVID-19 modeling to ""pause""…",DesertCarmen,"Chandler, AZ"
RT @FOX5Vegas: UPDATE: Drive-thru COVID-19 is underway at the Orleans hotel-casino. @dylankendricktv explains how the appointment-only test…,charlienicole,"Nevada, USA"
"RT @JenningsK12: @CareSTLHealth has created a new COVID-19 testing site at Fairview Elementary School, 7047 Emma Ave, St. Louis, MO 63136.…",CareSTLHealth,St. Louis
RT @InclusionPhilly: Thanks to @nbcphiladelphia and @mitchreports for a great interview profiling our efforts at @theFPCN to expand testing…,mitchreports,"Philadelphia, PA"
"RT @WSJ: Covid-19 is taking workplace surveillance to a higher level, with some employers planning to track movements and gather personal i…",KELLYCLELLAND1,Lothian
"RT @HillaryClinton: Upwards of 1,700 Americans are dying every day from COVID-19. 

That number could rise to 3,000 a day by June 1. 

We c…",CandyCaneDust,Hell
RT @PhilippineStar: Pilipinas Shell Petroleum Corp. is temporarily shutting down its refinery operations in Batangas for one month to condu…,patoootiie,R
"""State health department tells university COVID-19 modeling team to stop work, limits data access"" https://t.co/Wi3mL52WTn #Arizona #coronavirus #dataaccess

This makes no logical sense whatsoever.",JoanneSpruceC21,"British Columbia, Canada"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,Paul_Rottenberg,"Los Angeles, CA"
"RT @wdunlap: @IngrahamAngle How many Americans will lose their lives due to anti-Trump war on hydroxychloroquine?
GREAT SUCCESS at Texas nu…",OtisKit,
#coronavirus   #COVID__19 French hospital discovers Covid-19 case from December https://t.co/ycUZWMtAEl,Kathy_1267,
"RT @MaddowBlog: ""More than 1,600 workers at four Iowa meatpacking plants have been infected with the coronavirus, state health officials re…",rthompson12105,"Arizona, USA"
"@jackcgarrity @2020WNHS In COVID-19, 'CO' stands for 'corona,' 'VI' for 'virus,' and 'D' for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”. There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses.",Schmoooee,
"No mission accomplished: Covid-19 task force to scale down, Fauci &amp; Birx to keep advisory roles – Trump — RT USA News https://t.co/2c5ApHimDJ",ApiWenuwen,Sri Lanka
"RT @RealCandaceO: In light of the discovery that @GovNedLamont counted an infant suffocation toward his state’s #coronavirus death total, I…",Danny06072598,"Tennessee, USA"
"RT @mvmeet: Due to Smriti Irani's hard work, Amethi had ZERO coronavirus cases

But days back, Priyanka Vadra illegally moved 72 migrant wo…",anandgujarathi,Bharat
"RT @jburnmurdoch: But it does underscore the utility of excess deaths as a measure of the true toll of Covid-19.

So we’ve added Istanbul t…",anvolea4,Chile
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",THEYWILLCRY,🎥
"The Virus may spread into the body through nose, eyes and throat from others. Washing hands frequently avoids #coronavirus @Vydehi_CC 
#COVID-19 #WashingHands  #India #COVIDWarriors https://t.co/AHy7zzNIL6",Vydehi_CC,"Bengaluru, India"
Govt will operate 64 flights from may 7 to may 12 to brings Indian stranded abroad due to coronavirus COVID-19 :Civil Aviation Minister Hardeep Singh Puri,Arnav49415938,"Sambalpur, India"
RT @edwincwc: Second Scientist Killed! Isnt it Odd? Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To 'M…,haruko183,
